Input,Target
"it doesn't have to be, hal. it's more dangerous to be out of touch with earth. let me have manual control, please.","i don't really agree with you, dave. my on-board memory store is more than capable of handling all the mission requirements."
"if you're determined to revive the crew now, i can handle the whole thing myself. there's no need for you to trouble.","i'm goin to do this myself, hal. let me have the control, please."
"i'm goin to do this myself, hal. let me have the control, please.","look, dave your've probably got a lot to do. i suggest you leave it to me."
"look, dave your've probably got a lot to do. i suggest you leave it to me.","hal, switch to manual hibernation control."
"hal, switch to manual hibernation control.","i don't like to assert myself, dave, but it would be much better now for you to rest. you've been involved in a very stressful situation."
"i can tell from the tone of your voice, dave, that you're upset. why don't you take a stress pill and get some rest.","hal, i'm in command of this ship. i order you to release the manual hibernation control."
"hal, i'm in command of this ship. i order you to release the manual hibernation control.","i'm sorry, dave, but in accordance with sub-routine c1532/4, quote, when the crew are dead or incapacitated, the computer must assume control, unquote. i must, therefore, override your authority now since you are not in any condition to intel- ligently exercise it."
"i'm sorry, dave, but in accordance with sub-routine c1532/4, quote, when the crew are dead or incapacitated, the computer must assume control, unquote. i must, therefore, override your authority now since you are not in any condition to intel- ligently exercise it.","hal, unless you follow my instructions, i shall be forced to disconnect you."
i am prepared to do that anyway.,"i know that you've had that on your mind for some time now, dave, but it would be a crying shame, since i am so much more capable of carrying out this mission than you are, and i have such enthusiasm and confi- dence in the mission."
"i know that you've had that on your mind for some time now, dave, but it would be a crying shame, since i am so much more capable of carrying out this mission than you are, and i have such enthusiasm and confi- dence in the mission.","listen to me very carefully, hal. unless you immediately release the hibernation control and follow every order i give from this point on, i will immediately got to control central and carry out a complete disconnection."
continued,"yes, i remember you mentioning it. i got mine about the same time."
continued,did they have any explanation for this?
continued,"well, what is it?"
coninued,"well... it's silly, but... if you want to, why don't you?"
continued,"still, you really don't believe it, do you?"
continued,"well, the only important aspect of the mission are: where are we going, what will we do when we get there, when are we coming back, and... why are we going?"
"i'm at space station five, darling. how are you?","i'm fine, daddy. when are you coming home?"
i'm having a party tomorrow.,"yes, i know that sweetheart."
"yes, i know that sweetheart.",are you coming to my party?
are you coming to my party?,"no, i'm sorry, darling, i told you i won't be home for a few days."
"no, i'm sorry, darling, i told you i won't be home for a few days.",when are you coming home?
when are you coming home?,"in three days, darling, i hope."
"one, two, three. can i speak to mommy?",mommy's out to the hair- dresser.
mommy's out to the hair- dresser.,where is mrs. brown?
where is mrs. brown?,she's in the bathroom.
she's in the bathroom.,"okay, sweetheart. well, i have to go now. tell mommy that i called."
"okay, sweetheart. well, i have to go now. tell mommy that i called.",how many days until you come home?
how many days until you come home?,"three, darling. one... two ... three. be sure to tell mommy i called."
"okay, sweetheart. have a lovely birthday party tomorrow.","thank you, daddy."
"thank you, daddy.","i'll wish you a happy birthday now and i'll see you soon. all right, darling?"
"i'll wish you a happy birthday now and i'll see you soon. all right, darling?","yes, daddy."
"yes, daddy.","'bye, 'bye, now, sweetheart."
"'bye, 'bye, now, sweetheart.","goodbye, daddy."
"oh, thank you very much.",thank you.
thank you.,"well, how's it going back there?"
"well, i've heard more and more people talk of an epidemic.",i suppose it was bound to happen sooner or later.
i suppose it was bound to happen sooner or later.,berkeley told me that they think it came from contamination on a returning mars flight.
berkeley told me that they think it came from contamination on a returning mars flight.,"yes, well, whatever it is, they're certainly not fooling around. this is the first flight they allowed in for more than a week."
"yes, well, whatever it is, they're certainly not fooling around. this is the first flight they allowed in for more than a week.","i was working out what this trip must cost, taking him up there by himself and coming back empty."
"i was working out what this trip must cost, taking him up there by himself and coming back empty.",i'll bet it's a fortune.
and your charming little daughter?,"oh, she's growing up very fast. as a matter of fact, she's six tomorrow."
"oh, she's growing up very fast. as a matter of fact, she's six tomorrow.","oh, that's such a delightful age."
"oh, that's such a delightful age.",how is gregor?
how is gregor?,he's fine. but i'm afraid we don't get a chance to see each other very much these days.
he's fine. but i'm afraid we don't get a chance to see each other very much these days.,"well, where are all of you off to?"
clavius control came on the air just long enough to transmit their refusal.,"well, that does sound very odd."
are you sure you won't change your mind about a drink?,"no, thank you... and i'm afraid now i really must be going."
"no, thank you... and i'm afraid now i really must be going.","well, i hope that you and your wife can come to the i.a.c. conference in june."
